movieId,title,genres,ratingCount,rating
858,"Godfather, The (1972)",Crime|Drama,200,4.4875
318,"Shawshank Redemption, The (1994)",Crime|Drama,311,4.487138263665595
1221,"Godfather: Part II, The (1974)",Crime|Drama,135,4.385185185185185
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,201,4.370646766169155
527,Schindler's List (1993),Drama|War,244,4.30327868852459
1193,One Flew Over the Cuckoo's Nest (1975),Drama,144,4.256944444444445
608,Fargo (1996),Comedy|Crime|Drama|Thriller,224,4.256696428571429
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,324,4.256172839506172
2858,American Beauty (1999),Comedy|Drama,220,4.236363636363636
58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,121,4.235537190082645
912,Casablanca (1942),Drama|Romance,117,4.235042735042735
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,234,4.232905982905983
4226,Memento (2000),Mystery|Thriller,132,4.2272727272727275
111,Taxi Driver (1976),Crime|Drama|Thriller,118,4.22457627118644
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,145,4.224137931034483
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,291,4.221649484536083
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,163,4.208588957055214
1213,Goodfellas (1990),Crime|Drama,131,4.202290076335878
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,220,4.193181818181818
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,259,4.183397683397684
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,200,4.1825
2959,Fight Club (1999),Action|Crime|Drama|Thriller,202,4.178217821782178
1089,Reservoir Dogs (1992),Crime|Mystery|Thriller,132,4.162878787878788
778,Trainspotting (1996),Comedy|Crime|Drama,124,4.141129032258065
1704,Good Will Hunting (1997),Drama|Romance,157,4.140127388535032
1208,Apocalypse Now (1979),Action|Drama|War,112,4.138392857142857
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,304,4.1381578947368425
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,176,4.127840909090909
1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,125,4.12
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,125,4.096
1259,Stand by Me (1986),Adventure|Drama,112,4.09375
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,132,4.071969696969697
5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,188,4.0611702127659575
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,217,4.059907834101383
356,Forrest Gump (1994),Comedy|Drama|Romance|War,341,4.05425219941349
541,Blade Runner (1982),Action|Sci-Fi|Thriller,146,4.037671232876712
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,201,4.034825870646766
2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery,193,4.018134715025907
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,147,4.017006802721088
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,226,4.015486725663717
2918,Ferris Bueller's Day Off (1986),Comedy,133,4.007518796992481
